,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,I27,I28,I29,I30,I31,I32
E1,D,B,D,C,E,A,E,E,D,,B,C,D,,C,A,D,A,E,D,E,C,A,B,E,E,A,B,D,B,,C
E2,D,B,,C,E,B,A,C,D,A,E,C,C,B,B,D,E,D,E,A,D,C,D,C,C,,C,D,D,B,E,D
E3,B,D,D,C,E,A,D,C,D,D,D,A,C,A,B,A,E,D,A,D,E,B,D,D,B,A,A,E,D,E,E,B
E4,D,D,,A,E,,E,E,D,B,E,C,C,,D,C,E,D,D,B,D,C,C,D,E,C,D,B,B,B,B,B
E5,B,B,E,A,C,C,B,E,D,A,D,B,D,A,C,C,E,B,D,B,B,D,A,E,A,A,D,A,D,B,A,B
E6,A,D,D,B,A,C,E,D,D,A,D,,C,,C,C,A,D,B,B,E,B,C,D,A,,D,C,B,B,A,A
E7,B,B,,B,A,D,B,,D,A,D,,C,C,C,C,E,E,A,B,,A,,,A,C,A,,C,B,A,D
E8,B,A,C,C,E,A,D,B,D,D,C,A,C,A,A,B,B,A,E,B,D,A,A,A,D,E,E,E,A,C,A,D
E9,B,A,B,C,E,B,B,E,D,A,E,C,B,E,B,D,B,C,A,A,E,C,E,A,B,C,A,E,B,B,C,A
E10,D,C,A,E,A,A,E,C,D,B,E,C,C,A,C,A,A,D,D,B,E,D,D,E,A,C,E,D,B,A,E,E
E11,A,,C,C,,,B,,,A,D,E,,D,B,A,B,E,,B,B,B,,A,,B,,C,D,A,E,
E12,E,E,E,D,E,D,D,E,C,A,E,C,C,,C,C,A,E,B,B,A,B,D,,A,D,A,,D,E,A,B
E13,B,,,C,A,E,A,B,D,D,E,,,,C,C,E,E,,,A,,,,A,D,C,,B,E,D,
E14,B,D,D,A,C,A,E,B,D,A,E,A,B,A,E,C,E,C,A,D,E,E,B,B,B,C,A,A,D,D,A,E
E15,D,D,D,A,,,D,C,,C,D,,C,C,C,C,A,E,,B,E,C,D,,,A,A,C,,,,
E16,A,A,B,A,A,A,D,A,D,D,C,E,C,E,A,D,E,A,E,B,A,D,B,A,E,E,C,C,E,A,E,C
E17,D,D,D,B,E,D,E,E,D,A,D,C,C,C,A,C,E,E,,C,E,B,C,D,A,C,A,C,C,A,B,C
E18,C,C,C,B,A,E,E,E,D,D,D,C,C,,C,A,B,B,D,B,C,B,A,D,A,C,D,C,A,B,A,A
E19,B,A,,B,E,,D,B,D,,D,D,C,,C,C,E,E,A,B,D,B,C,,E,C,D,C,,A,A,B
E20,A,D,E,E,A,A,E,B,D,A,E,A,C,,A,C,A,A,A,B,E,C,E,C,A,A,A,B,D,B,D,B
E21,B,D,A,E,E,D,E,E,C,A,D,D,C,A,C,C,C,E,E,B,D,B,D,D,A,D,D,D,A,A,A,A
E22,C,D,D,C,A,C,E,E,D,A,D,A,C,C,C,C,A,D,B,B,,B,D,D,A,A,A,C,D,,A,A
E23,A,B,C,B,A,D,E,E,D,A,E,,E,,C,C,E,A,,B,,B,D,,A,,D,C,,B,,D
E24,,,B,,,,B,C,A,D,,,,,E,,,,,,,C,,,,A,,,,,,
E25,B,B,D,A,A,A,E,B,D,D,B,E,A,C,B,D,E,D,B,D,B,B,B,A,A,C,A,D,E,E,D,E
E26,D,D,D,B,A,D,E,B,D,A,D,C,C,C,B,C,E,D,D,B,D,B,D,D,A,A,D,C,B,D,A,C
E27,C,C,E,E,E,D,E,C,D,A,D,A,C,,C,A,A,D,B,B,E,B,D,C,A,A,D,,B,D,D,A
E28,D,C,,B,E,D,B,A,D,A,E,,A,C,B,C,C,,D,B,C,,C,A,D,,A,B,D,,,
E29,B,A,,A,E,D,B,E,A,D,,B,E,B,D,A,E,D,C,D,E,,D,A,C,A,D,D,A,D,C,C
E30,B,D,E,C,E,B,D,C,D,C,E,B,B,B,C,D,A,A,D,D,B,C,C,E,A,C,A,C,E,E,A,C
E31,A,D,,A,A,B,D,E,D,A,D,C,A,,C,A,E,D,B,B,C,C,D,D,A,,A,A,D,B,B,A
E32,D,B,D,B,A,D,E,E,D,A,D,,C,C,C,D,A,D,D,B,E,B,D,D,A,C,A,C,D,B,A,A
E33,B,C,C,B,C,D,A,E,D,D,B,,E,,C,,C,C,B,B,B,B,B,,C,A,C,B,B,,A,C
E34,,B,,A,A,C,,,D,D,,,,,E,D,,C,,B,A,B,,,E,,A,,A,C,A,
E35,A,C,E,B,D,,D,B,A,B,,,A,E,E,D,E,C,B,B,E,D,A,B,D,B,E,E,,B,C,E
E36,B,D,C,C,C,A,D,B,D,D,E,B,A,A,A,C,E,D,A,B,B,C,A,A,E,C,A,C,A,E,A,B
E37,A,D,,E,A,D,D,A,A,A,D,C,E,D,C,C,A,D,A,B,C,D,D,D,D,C,A,C,D,B,A,C
E38,D,D,,B,,,E,B,E,E,D,,,,B,A,E,E,D,B,E,,,,C,,,C,C,,A,C
E39,D,D,C,B,A,B,A,,D,D,,A,A,B,C,A,E,A,D,B,E,E,D,A,D,C,A,C,,,A,C
E40,D,D,,C,,,D,,D,C,,,C,,D,A,E,D,,B,,,,,C,,A,,D,,E,
E41,A,D,,A,E,A,D,B,D,B,,,,C,B,B,E,C,,B,B,C,,E,A,,A,B,E,C,E,D
E42,A,D,D,B,A,B,E,A,D,A,D,C,C,C,C,A,E,D,B,B,B,B,D,C,A,A,A,C,C,A,A,A
E43,E,,,A,E,,B,D,D,A,E,,B,B,B,C,E,E,,B,B,E,,C,A,D,C,B,D,B,B,
E44,,B,,B,E,A,E,B,D,C,C,,,A,B,C,E,E,E,,,C,A,D,,,A,C,E,,A,C
E45,A,D,D,B,A,D,E,E,D,A,D,A,C,C,C,C,A,D,E,B,C,B,D,D,A,A,D,C,B,B,A,A
E46,D,D,D,E,A,C,D,E,D,B,D,D,C,C,C,C,E,C,B,B,C,B,D,B,A,A,A,C,E,A,A,D
E47,B,B,,B,E,E,E,A,D,B,,,D,D,C,B,E,D,D,D,E,D,E,B,A,,A,B,D,B,A,D
E48,D,A,C,E,E,C,A,E,D,D,D,C,C,C,C,A,E,C,A,B,E,A,D,D,A,C,D,C,D,A,E,A
E49,,,,D,,A,E,E,E,D,,E,,,,A,,,D,E,,,,C,,,D,,D,B,C,C
E50,A,C,E,,,D,B,C,D,C,D,E,,A,C,C,E,A,,B,C,C,,E,,C,A,C,A,,A,E
E51,C,D,D,B,A,E,E,E,D,D,D,C,C,C,C,C,A,D,E,B,C,B,D,C,C,C,D,C,C,A,A,A
E52,A,D,C,C,A,C,E,B,D,B,C,A,C,E,C,C,E,C,D,B,E,A,C,D,D,,A,A,A,B,A,B
E53,A,,,E,E,E,A,B,C,B,,D,C,C,C,A,D,E,B,B,C,B,D,A,B,C,A,,B,A,A,B
E54,A,E,E,B,E,C,A,A,A,D,D,E,A,E,A,D,D,D,A,B,C,C,D,C,D,D,B,D,A,D,A,D
E55,,,,C,E,D,B,A,C,B,,,C,,C,A,A,C,D,B,,,D,,D,,,,D,,A,
E56,C,D,D,B,A,D,E,E,D,B,D,,C,C,C,C,,,E,B,D,B,D,D,A,C,D,C,C,A,A,A
E57,B,E,C,C,E,D,E,A,D,C,B,C,A,,C,B,E,E,D,B,C,A,B,E,A,C,A,B,A,E,A,A
E58,E,D,D,B,A,D,E,E,D,A,D,C,C,A,C,A,C,D,A,B,E,C,D,D,A,C,E,C,C,B,A,A
E59,D,D,C,B,E,C,E,,D,A,D,,C,,D,,A,D,B,B,E,B,,,,D,A,,,E,E,A
E60,,D,D,B,E,A,B,,D,C,E,C,B,,D,C,E,A,D,B,B,,C,,D,,D,C,D,E,D,C
E61,B,B,D,A,C,D,E,D,E,B,D,B,C,C,A,D,D,D,D,A,D,B,E,B,D,C,A,D,E,B,B,D
E62,,D,,A,,,,,D,,D,,C,,C,C,,,,B,,,,D,A,,,,,,,
E63,B,,C,,E,B,B,A,D,A,E,,,A,D,B,,C,,B,B,E,C,,B,,A,D,D,C,E,D
E64,,,E,B,,E,E,,D,D,,,C,E,,C,B,D,,B,,,C,,,,A,,,,,D
E65,A,A,,B,E,C,E,E,D,D,,,A,C,C,B,A,D,B,B,D,C,A,,C,,D,,,E,A,B
E66,D,A,C,D,A,D,D,E,D,C,B,B,E,E,C,C,E,C,B,C,E,A,D,D,E,E,A,C,E,B,C,D
E67,A,D,,A,E,D,E,A,C,E,,,C,,C,A,E,D,D,B,B,,D,,D,,A,,A,B,,
E68,D,,D,E,,D,E,,D,A,D,C,C,C,C,C,E,,,B,D,B,C,D,A,A,,C,D,A,A,C
E69,C,D,E,A,A,C,E,A,D,B,D,A,C,,B,C,A,C,D,B,C,A,D,A,E,A,D,C,C,B,A,C
E70,B,A,E,C,E,D,A,B,D,D,A,E,D,E,A,C,C,C,A,C,C,B,A,A,B,C,E,C,B,B,B,E
E71,B,B,C,A,E,D,A,D,D,D,D,C,C,E,B,A,C,B,A,B,B,C,D,C,A,C,D,C,B,B,C,A
E72,B,D,C,A,C,E,D,E,D,A,D,C,C,C,D,C,B,E,A,B,D,C,D,D,D,A,A,C,B,C,A,C
E73,,D,D,B,E,D,E,E,D,B,D,C,,C,C,D,,D,A,B,,C,D,D,A,A,A,D,C,A,A,B
E74,D,E,,D,D,A,D,E,D,A,C,,B,A,D,A,E,B,E,A,D,E,D,A,A,,C,D,D,D,C,D
E75,D,D,E,,A,E,A,,D,A,D,A,C,,C,C,A,E,D,B,E,A,A,C,A,A,A,C,B,C,D,A
E76,D,,,,E,A,D,,D,A,,,,A,A,,B,,,B,,,,,,,A,,D,D,A,C
E77,E,D,E,B,A,D,E,E,C,A,D,D,C,,C,C,A,D,B,B,D,A,C,B,A,C,A,C,C,A,A,C
E78,B,D,E,C,A,D,D,A,D,D,D,D,E,A,D,A,D,B,A,D,C,D,A,D,A,B,D,D,C,E,B,E
E79,C,D,,E,E,D,A,C,D,D,,,C,D,D,B,A,E,A,B,A,C,C,,B,,A,B,D,C,D,C
E80,B,D,D,A,E,C,D,E,D,A,D,C,A,A,C,C,E,E,E,B,D,B,A,D,A,A,D,C,E,C,A,B
E81,,D,D,C,A,A,D,,D,B,B,,B,,B,C,A,A,A,A,C,C,D,A,,E,A,A,D,C,E,E
E82,D,D,D,A,E,D,A,E,D,B,D,A,C,C,C,C,A,A,D,B,D,B,D,C,A,A,A,C,C,A,A,A
E83,C,D,C,B,A,C,B,A,D,A,D,,C,,C,A,E,A,B,B,,,D,C,A,A,A,C,,A,A,
E84,A,B,D,B,E,D,A,B,D,A,D,B,D,A,C,C,A,A,C,B,E,C,D,A,A,A,A,C,C,A,A,B
E85,A,D,D,A,A,,D,,D,A,D,A,C,B,D,C,E,D,B,B,A,C,B,D,D,C,A,B,C,C,B,
E86,D,A,D,A,A,A,E,A,D,D,C,C,B,C,A,C,D,D,D,B,C,C,B,D,D,A,C,B,D,B,A,B
E87,,D,,B,A,E,E,,C,B,D,,C,D,C,C,A,D,E,B,B,B,D,D,A,A,A,C,B,A,A,
E88,C,E,B,B,E,D,D,A,D,A,C,,C,C,C,C,E,C,D,B,C,B,A,E,B,E,A,A,D,B,E,C
E89,D,,,B,A,D,E,,D,D,D,E,,,C,C,E,A,,B,D,B,D,,A,,D,B,B,B,A,
E90,B,B,,B,A,D,E,B,C,D,C,B,A,C,A,A,B,D,D,B,B,A,C,D,E,,A,B,D,C,D,D
E91,A,E,B,C,D,A,E,C,D,A,E,D,C,C,B,C,E,E,B,B,D,C,D,D,A,A,A,C,D,D,A,E
E92,,,,E,,,,,A,B,,,A,C,B,A,,,B,,,,,,,,,,,,B,C
E93,D,D,E,B,E,D,B,E,D,C,E,A,E,A,B,A,E,C,A,B,E,E,B,A,B,E,A,D,D,C,E,C
E94,C,E,,A,,A,D,,D,D,E,,D,,C,C,E,E,A,B,E,C,A,,D,C,B,,D,,E,C
E95,A,E,,A,E,D,E,,D,C,,,A,D,C,B,D,C,,B,E,C,C,,,A,A,,B,,D,B
E96,C,D,D,B,E,D,E,E,D,A,D,A,E,A,C,C,A,D,E,B,D,B,D,D,C,A,D,C,E,B,A,
E97,E,B,D,D,C,B,C,B,C,B,B,B,D,E,B,D,C,C,A,C,B,B,D,B,C,B,C,B,D,A,C,B
E98,E,D,C,A,E,A,E,,D,C,E,C,C,,C,C,E,E,A,B,E,A,C,,C,C,B,,D,C,C,
E99,D,,D,B,,,A,,D,D,,,C,E,A,B,C,D,,B,A,,D,,,,A,E,A,,,
E100,A,,,B,A,E,,E,C,D,,,C,D,C,C,A,A,B,B,B,,A,,A,A,A,,D,B,A,A
E101,C,E,C,B,E,C,E,E,D,C,B,E,A,A,C,C,E,C,E,B,D,C,B,A,A,C,D,C,D,C,A,A
E102,B,,,B,E,,A,C,C,D,,,A,D,B,A,B,E,A,B,B,E,D,A,A,,D,,A,E,D,B
E103,A,D,C,E,E,B,D,E,D,A,C,E,C,A,B,C,E,C,D,B,B,B,C,B,B,A,D,B,B,B,B,B
E104,A,,,B,A,B,E,E,D,B,D,,C,C,C,C,A,D,B,B,C,B,D,,A,,E,C,C,A,A,A
E105,A,D,D,B,E,D,D,E,D,A,D,C,A,C,C,D,A,E,B,B,A,B,A,D,A,C,D,B,D,C,E,D
E106,A,E,D,B,A,D,E,E,D,A,D,C,C,C,C,C,A,D,E,B,C,B,D,D,A,C,D,C,A,A,A,A
E107,D,D,D,C,E,,A,,D,A,D,C,C,,C,D,C,C,D,B,E,B,D,A,A,A,A,A,D,C,A,C
E108,B,D,E,B,A,E,A,E,D,B,,C,A,D,B,A,A,D,C,B,B,B,D,C,C,E,A,C,D,A,A,D
E109,C,D,E,E,A,D,E,B,D,A,D,C,A,C,C,D,E,D,B,B,C,A,D,,C,C,A,E,C,A,A,D
E110,D,C,E,D,A,,D,C,E,D,C,A,C,D,A,,A,B,,E,C,,B,C,D,A,E,A,D,A,C,C
E111,D,D,D,A,E,C,E,E,C,A,D,C,C,C,C,A,E,B,A,B,D,C,D,D,A,A,D,C,C,A,A,B
E112,E,D,C,A,E,C,E,,D,A,C,,A,C,C,C,D,D,E,B,D,C,D,D,A,C,D,C,D,B,A,A
E113,D,D,D,E,E,D,B,E,C,C,,D,C,,D,A,E,E,D,C,E,E,D,A,A,,E,,B,E,A,D
E114,A,D,D,B,A,D,B,E,D,D,D,C,C,D,C,C,E,D,A,B,D,B,D,C,A,A,A,C,C,A,A,A
E115,A,C,,B,E,D,E,C,D,,,,C,,C,A,E,D,D,B,,B,D,,,,D,,A,,,C
E116,,C,C,B,,,D,E,D,A,D,A,C,C,,B,,,,B,E,C,C,B,,A,B,C,D,,,C
E117,E,D,E,B,A,A,D,,D,A,D,,C,E,C,C,E,B,D,B,D,B,D,,A,A,D,C,B,C,A,
E118,,,,E,E,D,,B,C,C,,,,A,C,A,B,,,D,,,,,,,A,,A,,C,C
E119,C,D,D,B,A,D,E,E,D,A,D,C,C,C,C,C,D,C,B,B,D,B,D,D,A,C,D,C,E,B,A,A
E120,D,D,,B,E,D,E,,D,B,,,,,C,A,A,A,C,B,D,C,D,,A,,E,,D,B,A,B
E121,B,D,C,B,E,D,D,C,C,A,D,,D,C,C,C,E,E,B,B,C,B,D,A,A,C,A,B,B,D,A,A
E122,C,E,C,,,,E,E,D,,,,B,A,B,,B,D,,,D,,D,,,,,,,,,D
E123,A,,,,B,,D,,,D,,,,D,,A,D,A,,,C,,A,,,,D,,D,D,,C
E124,A,A,,B,A,E,A,E,D,A,,,C,C,C,A,B,B,B,B,D,C,D,,A,,A,C,C,B,A,A
E125,D,D,E,A,E,A,E,B,D,A,C,C,C,E,A,A,E,C,D,B,D,E,E,B,D,C,D,C,A,D,A,
E126,D,D,C,E,A,,D,,D,A,D,D,C,B,B,A,D,D,A,B,E,B,D,,D,,D,C,B,A,A,
E127,D,A,C,B,E,A,E,,D,A,B,,A,,B,C,B,C,D,B,,B,A,C,,,A,,B,C,A,
E128,D,,,A,C,D,B,,D,D,C,,A,,C,D,A,A,D,B,E,,B,,,,E,,,,A,
E129,C,D,D,E,E,A,A,E,C,C,D,,,,B,A,C,C,,B,,C,B,D,,C,A,,D,D,E,A
E130,,,,B,E,C,D,,D,D,E,,A,,C,C,E,A,D,B,A,C,C,D,,A,B,B,,E,A,C
E131,C,D,,B,,D,E,,E,B,D,,C,,B,B,C,D,D,B,B,,D,,C,,,B,D,,A,
E132,D,B,,,E,D,B,E,D,D,B,B,B,,E,D,E,C,,E,,A,C,A,,,A,,B,B,E,C
E133,,,E,B,D,E,D,,D,C,C,,E,C,B,D,,A,,B,,C,D,C,,C,A,,D,,,
E134,D,D,,B,C,C,D,A,D,D,D,D,C,B,B,C,E,D,A,B,A,B,A,E,D,,A,C,D,B,C,E
E135,C,B,D,C,E,C,D,B,D,A,A,A,C,C,E,A,E,,A,B,A,C,C,A,C,D,A,C,D,A,A,D
E136,B,C,,B,A,C,A,E,D,C,B,B,C,,C,C,E,D,C,D,C,D,D,E,A,,D,B,B,E,C,
E137,,D,C,B,,D,E,,D,,D,,C,C,C,,E,D,,B,,B,C,,,C,,C,,A,A,A
E138,B,D,C,C,E,D,B,C,D,A,C,A,E,B,C,D,E,D,A,B,A,C,C,A,B,E,A,B,,C,C,E
E139,A,D,D,B,A,B,E,E,D,A,D,A,C,C,C,C,E,D,C,B,C,B,D,D,A,C,D,C,C,B,A,A
E140,A,D,D,B,E,B,D,A,D,A,D,B,E,C,C,D,E,D,A,B,E,B,D,E,A,C,,C,A,B,D,C
E141,D,C,C,E,E,A,D,E,D,E,D,E,E,B,C,B,E,A,,B,C,B,C,D,B,A,D,B,C,B,E,
E142,C,C,E,E,C,A,B,D,C,C,A,A,C,B,C,B,C,A,B,B,A,B,B,A,A,E,A,D,D,A,C,C
E143,,D,,B,,,E,,D,A,,C,A,D,C,C,E,E,D,B,,E,B,,A,,B,,,C,,A
E144,D,A,,B,A,D,D,E,C,A,,A,A,,C,C,E,,B,B,E,E,,,C,C,A,,E,A,D,A
E145,D,C,C,C,A,D,D,B,D,A,D,A,C,D,C,A,E,D,D,B,D,C,D,E,A,C,D,C,B,E,D,B
E146,C,D,D,B,A,C,A,,D,A,D,A,C,,C,D,E,D,D,B,D,B,D,D,A,C,D,E,E,D,A,D
E147,D,D,,B,A,D,,E,D,A,D,,C,,C,C,A,A,C,B,E,B,D,E,A,C,D,D,D,D,,C
E148,,D,B,,,B,B,C,D,D,D,,B,C,D,D,E,D,,B,C,C,B,,,C,D,D,A,,B,C
E149,,D,,B,C,D,D,,D,B,D,C,A,,C,A,E,D,B,B,B,B,D,D,A,,D,,B,B,A,
E150,D,D,D,A,A,A,E,A,D,A,C,B,C,D,E,C,B,C,A,B,B,C,E,E,A,C,E,A,D,D,A,B
E151,A,D,D,B,A,D,E,E,D,A,D,A,C,C,C,A,A,D,E,B,D,B,D,D,A,C,D,C,C,D,A,A
E152,D,C,E,C,D,A,D,C,D,C,D,D,E,B,C,C,E,C,A,B,C,C,D,E,E,C,A,B,E,C,D,C
E153,D,D,C,B,E,D,D,E,D,B,D,,C,D,C,C,A,D,A,B,E,C,D,C,A,C,A,B,B,E,B,B
E154,A,D,D,D,E,E,E,,D,A,C,,A,,C,D,E,D,C,B,,C,D,C,D,,D,D,,C,A,C
E155,C,D,B,A,E,D,A,A,D,B,C,C,C,C,E,C,B,C,A,C,C,C,C,B,D,C,C,D,E,B,D,E
E156,A,D,C,,E,,D,D,D,B,E,,B,B,C,D,E,D,D,B,B,C,C,,A,,B,,D,,A,E
E157,,,E,E,,A,,,C,D,E,A,,D,B,C,E,E,,D,B,B,A,A,,,A,C,,,,
E158,B,C,,C,A,A,D,E,D,B,E,E,C,A,B,D,B,,D,D,E,C,C,E,,,E,B,A,C,E,B
E159,D,D,,D,C,E,,A,D,A,,D,C,,D,C,D,,D,B,,C,A,D,,A,A,C,C,B,A,A
E160,,,A,E,,,,,D,B,,,B,A,D,D,B,D,C,A,,,E,,,,,,C,,B,C
E161,B,D,,B,,C,E,,D,D,C,,C,,C,C,E,E,D,B,B,,,,D,,A,,,,,
E162,B,E,C,A,E,B,D,B,D,C,C,A,C,E,B,B,D,D,B,B,E,B,D,D,E,B,D,C,A,D,C,C
E163,A,D,C,B,A,A,E,B,D,D,D,A,C,C,C,C,A,D,B,B,C,B,C,C,A,C,A,B,D,E,A,A
E164,D,D,,A,A,B,E,,D,A,D,,A,,C,C,E,E,A,B,D,C,A,,,,D,C,D,,A,
E165,,D,,A,E,B,E,A,D,E,D,B,A,D,B,B,E,D,A,B,D,C,,,C,A,C,,D,A,C,B
E166,D,D,D,,A,,D,E,D,A,D,,E,E,B,C,E,B,,B,C,B,A,D,A,C,A,C,D,,A,B
E167,D,D,,B,A,B,A,C,D,D,,B,A,C,D,A,E,,B,B,B,B,D,C,A,,A,B,,B,A,A
E168,A,D,,B,E,C,E,,C,,B,,C,,C,C,E,B,,B,E,B,D,,,A,D,,,B,,A
E169,D,D,D,B,A,D,E,,D,A,D,,C,C,C,C,A,B,B,B,D,A,D,,E,C,A,C,A,E,A,D
E170,A,D,,B,E,A,D,E,D,A,B,,D,C,B,C,E,A,,D,C,E,B,,A,,D,C,D,,A,C
E171,D,D,D,B,C,B,E,E,D,A,D,D,C,C,C,C,A,A,C,B,D,E,C,C,B,A,A,C,B,D,A,C
E172,D,A,B,A,A,D,A,,D,D,D,A,C,B,C,C,C,C,E,B,E,E,D,D,D,A,A,C,A,D,E,A
E173,D,,,C,E,,D,,C,D,,,A,C,C,D,B,C,D,B,B,B,C,C,E,,A,C,,A,B,C
E174,D,D,,E,,E,E,,D,D,B,,A,,C,A,B,,A,D,B,,D,,,,A,B,B,,,B
E175,B,D,D,B,A,D,,E,D,B,D,C,C,C,C,C,A,D,,B,,B,D,D,A,C,A,C,C,B,A,A
E176,A,,C,B,,D,A,,D,A,D,B,D,D,D,A,E,D,A,B,D,E,C,C,A,C,A,C,,,D,
E177,B,C,A,,E,,D,,D,E,,,E,,B,A,E,D,D,B,,C,,A,,E,A,E,A,D,C,A
E178,A,E,,B,A,B,D,B,D,D,B,,A,E,B,A,A,E,B,D,D,C,B,A,A,D,D,,D,B,C,B
E179,A,D,,B,A,D,E,,D,A,,,C,,C,A,,D,A,B,A,,C,,A,,D,C,C,,A,A
E180,C,,,,,,D,C,C,D,,,E,,A,C,E,,,,E,,,,,,A,,,,,
E181,E,C,C,B,D,B,A,E,D,A,E,C,B,A,B,D,A,D,D,A,E,E,D,A,A,C,A,E,B,C,E,C
E182,C,C,,B,A,A,E,,C,C,,,A,A,B,C,A,D,A,B,D,,C,A,A,,D,E,B,E,C,E
E183,C,D,C,B,A,E,E,E,D,A,D,E,D,D,B,C,E,A,D,B,E,B,D,D,A,C,D,D,D,B,A,C
E184,,B,B,B,E,B,E,E,D,A,,,C,,C,A,A,D,A,B,E,B,D,,A,,A,B,B,B,B,A
E185,A,D,D,B,A,,E,E,D,B,D,C,C,D,C,C,A,D,,B,B,B,D,D,A,C,D,,C,A,A,A
E186,A,C,C,B,C,A,A,A,D,A,B,D,C,D,B,C,D,A,A,B,D,C,D,E,C,C,A,C,D,B,A,C
E187,B,B,A,C,E,D,D,C,D,A,C,D,C,,C,B,A,A,A,B,,C,C,,D,E,A,,,E,C,C
E188,D,D,,B,A,E,E,B,D,A,,C,A,,C,D,D,D,E,B,B,B,B,,A,,E,C,B,B,A,A
E189,D,,,B,E,D,E,A,D,B,,,,C,C,A,E,D,B,B,E,C,C,,D,,E,,E,B,D,A
E190,C,C,,B,A,D,E,,D,D,,C,C,,C,D,,B,C,B,C,,D,,,,A,,,,,A
E191,A,D,D,D,D,D,D,D,D,D,D,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D
E192,,D,D,B,C,,D,B,D,A,E,D,A,B,B,A,A,E,D,B,E,E,B,C,A,B,,C,A,,A,
E193,,,,A,,,,A,D,D,D,,C,,D,B,E,A,D,B,B,,E,D,E,,D,,C,,D,
E194,D,,C,E,E,C,E,E,D,A,E,B,C,C,A,C,E,C,D,B,D,E,B,,,A,D,C,B,C,B,C
E195,E,,,,A,C,A,E,D,A,D,,E,B,B,D,A,C,C,E,A,,E,E,E,,B,E,D,B,A,C
E196,A,C,D,B,C,B,B,A,D,B,,,C,,C,C,,D,B,B,D,B,,,D,C,A,C,B,,C,C
E197,D,D,D,B,E,C,D,B,D,A,,,C,,B,C,E,E,D,B,E,A,C,D,C,,E,C,D,A,A,B
E198,A,A,B,B,E,D,D,,D,A,C,A,C,A,C,A,A,A,B,B,D,C,A,A,D,E,D,A,D,E,D,B
E199,D,D,C,B,A,D,E,C,D,A,D,C,D,C,C,C,A,D,C,B,B,B,D,D,A,C,A,B,,D,E,D
E200,D,D,C,B,,,E,B,A,A,D,,A,,C,C,D,E,B,B,E,,C,D,A,A,A,,D,C,A,A
E201,B,E,C,B,A,A,A,A,D,D,A,A,E,C,A,D,E,C,D,C,A,C,C,A,A,A,A,C,A,A,D,B
E202,D,A,C,E,E,D,,B,D,B,D,,C,C,D,A,E,C,D,B,E,,D,C,B,A,A,C,B,,A,C
E203,C,D,E,E,A,A,B,E,D,C,D,B,C,C,A,B,B,C,D,B,E,E,B,D,C,C,A,B,D,C,B,C
E204,C,,A,C,,A,A,A,A,C,D,,D,B,E,,E,A,A,,C,C,C,B,,D,C,E,,D,C,A
E205,A,E,C,C,C,D,A,C,A,B,C,B,B,E,C,D,A,A,C,B,D,D,D,A,E,A,A,E,D,C,E,E
E206,A,D,D,A,A,A,A,,D,A,D,B,C,C,E,C,E,,D,B,C,B,D,D,A,A,A,C,B,C,A,B
E207,B,,,C,D,,D,,D,D,E,,C,,C,B,E,C,A,A,C,A,B,,,,C,,D,C,D,
E208,D,D,A,D,E,D,D,A,D,A,E,B,E,D,D,D,D,D,D,B,B,E,D,C,D,B,A,B,D,C,D,D
E209,E,A,C,C,E,D,A,B,D,D,C,B,C,,D,C,E,C,E,C,,C,A,D,C,A,A,,D,B,A,E
E210,,,,A,E,C,,C,,E,,,,,A,C,E,C,,,C,E,,,,,B,,B,E,D,B
